프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구 시청자수(K),개인 시청자수(K),남성 시청자수(K),여성 시청자수(K),10대 시청자수(K),20대 시청자수(K),30대 시청자수(K),40대 시청자수(K),50대 시청자수(K),TV VOD 시청자수(K),PC 실시간(K),PC VOD(K),Mobile 실시간(K),Mobile VOD(K)
부부의 세계,2020.03.27,JTBC,금,"63,617","475,364","63,551","10,699",486,"2,751","4,321","1,734","2,587",201,452,608,947,"1,219",729,"2,159","2,628","11,084","12,668"
더 킹 : 영원의 군주,2020.04.17,SBS,금,"39,864","149,447","4,862","5,703",198,"1,725","2,725","1,168","1,557",180,212,386,702,678,374,561,980,"2,129","2,359"
슬기로운 의사생활,2020.03.12,tvN,수목,"29,388","150,572","22,169","5,020",288,"2,121","3,508","1,448","2,061",253,350,548,"1,077",803,450,"3,611","3,470","11,375","10,346"
"하이바이, 마마!",2020.02.22,tvN,토일,"20,209","69,418","9,523","1,471",223,983,"1,676",713,963,130,196,254,438,424,219,794,750,"3,913","3,557"
그 남자의 기억법,2020.03.18,MBC,수목,"13,898","92,572","6,061","3,276",591,699,997,405,592,57,78,142,174,242,145,423,467,"1,425","1,872"
365 : 운명을 거스르는 1년,2020.03.23,MBC,월화,"7,369","35,458","1,548","2,799",466,869,"1,285",538,747,54,94,155,310,280,105,420,518,"1,181","1,584"
하이에나,2020.02.21,SBS,금,"7,175","35,009","3,482","1,848",130,"1,771","2,660","1,176","1,485",144,189,279,624,692,247,562,"1,127","1,721","1,994"
날씨가 좋으면 찾아가겠어요,2020.02.24,JTBC,월화,"4,701","34,687","4,551","1,607",235,403,596,232,364,29,42,78,164,177,63,235,563,738,"1,778"
반의반,2020.03.23,tvN,월화,"4,530","22,677","2,113","2,680",356,264,414,188,226,36,40,39,117,105,71,475,426,638,"1,010"
메모리스트,2020.03.11,tvN,수목,"3,912","12,709","1,352","2,722",425,531,826,325,502,64,58,90,265,212,134,654,802,"1,786","1,724"
한 번 다녀왔습니다,2020.03.28,KBS2,토일,"2,217","19,895","2,895","3,623",295,"4,901","6,792","2,779","4,013",277,402,501,875,"1,589",203,796,"1,031","3,452","3,669"
본 어게인,2020.04.20,KBS2,월화,"2,188","5,930",481,"2,592",129,628,936,420,516,51,63,127,182,254,34,139,277,537,601
루갈,2020.03.28,OCN,토일,"1,880","7,202","1,418","1,482",372,453,704,349,355,45,61,65,176,215,215,-,-,-,-
아무도 모른다,2020.03.02,SBS,월화,"1,693","6,004",886,"2,689",184,"1,634","2,425","1,014","1,411",124,184,217,524,644,173,138,375,609,"1,013"
어서와,2020.03.25,KBS2,수목,"1,590","20,230",975,"2,431",452,374,568,235,333,34,45,71,114,113,102,140,469,557,"1,919"
굿캐스팅,2020.04.27,SBS,월화,"1,572","6,254",906,"2,618",111,"1,862","2,921","1,283","1,638",158,229,307,758,785,198,279,233,980,644
계약우정,2020.04.06,KBS2,월화,"1,403","3,963",206,"2,052",116,445,672,299,373,32,66,77,149,189,72,93,280,301,460
화양연화 - 삶이 꽃이 되는 순간,2020.04.25,tvN,토일,"1,268","7,555","1,606","2,524",131,819,"1,226",555,670,48,82,179,305,338,41,325,234,909,574
유별나! 문셰프,2020.03.27,채널A,금,510,"1,542",252,"1,213",302,115,189,96,93,11,21,14,35,63,33,282,332,738,"1,039"
영혼수선공,2020.05.06,KBS2,수목,311,"1,111",39,829,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
오 마이 베이비,2020.05.13,tvN,수목,307,"1,299",69,356,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
저녁 같이 드실래요,2020.05.25,MBC,월화,125,511,11,246,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
어쩌다 가족,2020.03.29,TV CHOS,토일,118,616,26,638,21,188,214,89,125,8,5,11,29,67,-,-,95,67,213
쌍갑포차,2020.05.20,JTBC,수목,81,544,47,132,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
외출,2020.05.04,tvN,월화,54,77,8,200,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
번외수사,2020.05.23,OCN,토일,16,27,0,84,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
