프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구 시청자수(K),개인 시청자수(K),남성 시청자수(K),여성 시청자수(K),10대 시청자수(K),20대 시청자수(K),30대 시청자수(K),40대 시청자수(K),50대 시청자수(K),TV VOD 시청자수(K),PC 실시간(K),PC VOD(K),Mobile 실시간(K),Mobile VOD(K)
빈센조,2021.02.20,tvN,토일,"13,081","123,690","24,126","4,142",527,"2,150","3,694","1,649","2,044",247,296,410,"1,019",982,1.9,"5,142","11,537","36,950","161,751"
펜트하우스2,2021.02.19,SBS,금,"5,447","52,099","9,035","1,359",76,"4,574","7,530","3,110","4,420",434,653,"1,047","1,466","2,111",1.1,"1,236","2,963","9,368","29,099"
마우스,2021.03.03,tvN,수목,"4,668","34,812","6,412","2,521",402,"1,089","1,778",761,"1,017",83,139,243,559,481,1.4,"1,163","3,750","21,240","43,350"
모범택시,2021.04.09,SBS,금,"4,426","32,497","9,883","3,997",315,"2,231","3,621","1,707","1,913",192,275,435,855,"1,037",1.8,"2,070","3,498","14,145","63,216"
나빌레라,2021.03.22,tvN,월화,"3,944","20,968","3,779","3,052",454,544,831,343,488,41,96,81,191,230,0.5,"2,459","3,112","4,112","23,994"
대박부동산,2021.04.14,KBS2,수목,"1,893","6,551","1,229","3,389",184,933,"1,413",621,792,66,95,126,347,390,0.5,"1,703","2,858","4,958","14,771"
괴물,2021.02.19,JTBC,금,"1,802","12,470",835,"1,721",136,782,"1,260",542,718,35,91,144,343,419,0.3,176,"6,015","6,248","41,961"
달이 뜨는 강,2021.02.15,KBS2,월화,"1,591","25,692","1,836","3,531",190,"1,547","2,139",961,"1,178",57,125,180,319,603,0.4,854,"4,835","4,041","4,280"
시지프스 : the myth,2021.02.17,JTBC,수목,"1,531","9,665","1,161","1,086",120,759,"1,254",575,679,54,113,134,290,389,0.8,653,"4,639","2,063","21,947"
로스쿨,2021.04.14,JTBC,수목,"1,460","12,147","1,652","3,081",216,785,"1,129",481,648,43,98,114,195,390,1.8,676,"4,019","4,479","11,050"
오케이 광자매,2021.03.13,KBS2,토일,"1,256","2,818","1,589","2,131",241,"4,444","6,416","2,707","3,709",266,353,422,851,"1,457",0.4,-,28,"6,055","3,959"
오! 주인님,2021.03.24,MBC,수목,945,"1,755",494,"2,654",295,208,377,180,198,29,47,55,68,75,0.1,"1,033",858,309,"1,764"
언더커버,2021.04.23,JTBC,금,903,"2,976",311,"2,239",98,536,888,427,460,39,60,84,191,298,0.2,466,"1,808","1,208","1,535"
이미테이션,2021.05.07,KBS2,금,630,"4,920",150,686,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
다크홀,2021.04.30,OCN,금,535,"2,614",153,"1,317",99,215,320,161,159,9,29,22,103,112,0,6,-,207,-
안녕? 나야!,2021.02.17,KBS2,수목,459,"1,116",401,872,71,756,"1,145",502,642,62,76,96,225,311,0.4,230,98,"1,547","14,737"
드라마 스테이지 2021,2021.03.03,tvN,수목,441,"4,541","1,156",604,160,189,259,136,123,9,21,42,83,64,0,-,381,722,"4,320"
오월의 청춘,2021.05.03,KBS2,월화,323,"1,579",144,"1,274",19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
어느 날 우리 집 현관으로 멸망이 들어왔다,2021.05.10,tvN,월화,269,"2,065",478,752,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
보쌈-운명을 훔치다,2021.05.01,MBN,토일,175,"1,375",53,"1,058",50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
어쩌다 가족,2021.03.21,TV CHOS,토일,113,309,26,"1,036",60,152,237,112,126,9,21,16,27,75,-,-,551,128,562
마인,2021.05.08,tvN,토일,85,399,104,712,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
나의 너에게,2021.04.19,KBS1,월화,26,68,3,117,0,268,334,152,183,11,21,55,47,63,-,-,"1,001",-,-
목표가 생겼다,2021.05.19,MBC,수목,16,18,0,129,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
