,프로그램명,주차,게시글(건수),댓글(건수),동영상조회(건수),뉴스(건수),동영상(건수),게시글(점유율%),댓글(점유율%),동영상조회(점유율%),뉴스(점유율%),동영상(점유율%),가구시청자수,2049시청자수,가구시청률(%),2049시청률(%)
0,사랑의불시착,202004.0,12044.14,75330.29,12869522.14,1725.29,129.29,16.8,15.47,17.43,4.77,2.51,2068782.57,1458230.29,10.36,6.81
1,펜트하우스,202050.69,8762.46,40101.31,7788396.0,1584.15,71.38,11.43,6.86,9.59,3.75,1.13,2155795.08,1348026.46,10.59,6.01
2,사이코지만괜찮아,202027.0,6708.27,33426.18,3828092.91,1050.45,110.09,10.13,5.47,5.19,2.93,1.78,720057.0,620233.27,3.55,2.75
3,비밀의숲2,202035.5,6550.3,26575.3,1397526.7,842.9,95.1,11.0,4.76,2.1,2.69,1.68,1020693.2,841599.5,5.03,3.74
4,청춘기록,202039.0,6278.45,32736.36,2107107.64,1024.09,82.0,9.07,5.24,2.85,3.13,1.41,966618.45,665322.82,4.75,2.96
5,브람스를좋아하세요,202038.0,4737.91,33028.18,1789018.73,744.64,63.18,6.8,5.28,2.45,2.29,1.11,596292.18,381774.64,2.93,1.71
6,낭만닥터김사부2,202005.0,4254.56,23190.22,3766095.0,1498.56,74.89,5.77,4.31,4.99,4.09,1.46,3068977.0,1410169.89,15.37,6.59
7,슬기로운의사생활,202015.0,4190.47,23880.87,3341004.27,1215.4,54.13,4.7,3.48,4.25,3.07,0.92,1638544.67,1510708.13,8.21,6.71
8,스타트업,202044.0,3598.36,28284.27,1958796.09,852.27,103.27,5.6,5.35,2.52,2.27,1.62,593018.27,489014.27,2.91,2.18
9,하이바이마마,202010.5,3413.92,16253.58,3177565.75,674.5,67.42,4.03,2.59,3.96,1.82,1.22,793622.08,623613.83,3.98,2.84
10,조선구마사,202110.5,3365.0,68232.25,1638709.0,1704.25,44.25,5.38,7.8,1.52,4.25,0.7,362331.0,258012.0,1.78,1.15
11,철인왕후,202076.5,3354.33,20120.25,6938244.58,970.25,90.08,4.36,3.23,8.19,2.26,1.49,1577343.0,1369656.25,7.76,6.09
12,경이로운소문,202063.09,3290.45,16954.09,2386965.82,899.09,90.09,4.06,2.82,2.97,2.07,1.43,1049852.91,1005769.45,5.16,4.47
13,설강화:SNOWDROP,202149.5,3283.17,31280.0,1194614.0,1037.67,43.5,5.95,7.5,1.58,3.15,0.83,206097.83,116972.5,1.03,0.55
14,갯마을차차차,202136.0,3132.64,21864.0,3629459.64,653.55,94.73,6.3,4.94,4.73,2.13,1.76,1208290.55,937612.82,6.01,4.31
15,빈센조,202110.5,2872.71,24940.71,4412547.21,1076.5,114.86,6.26,4.06,5.15,2.83,1.85,1476776.64,1227526.5,7.27,5.46
