,프로그램명,채널명,출연진내용,총시청률
0,모범형사,JTBC,"'손현주', '장승조', '이엘리야'",2.503925892857143
1,시지프스,JTBC,"'조승우', '박신혜', '김병철'",2.333670238095238
2,로스쿨,JTBC,"'김명민', '김범', '류혜영'",2.2290312637362635
3,18어게인,JTBC,"'김하늘', '윤상현', '이도현'",1.8110050446428572
4,쌍갑포차,JTBC,"'황정음', '육성재', '최원영'",1.5320279120879121
5,검사내전,JTBC,"'이선균', '정려원', '이성재'",1.5268005357142858
6,런온,JTBC,"'임시완', '신세경', '수영'",1.5121144897959182
7,선배그립스틱바르지마요,JTBC,"'원진아', '로운', '이현욱'",1.1778028571428572
8,설강화:SNOWDROP,JTBC,"'정해인', '지수', '유인나'",1.1541458571428573
9,공작도시,JTBC,"'수애', '김강우', '김미숙'",1.1426753968253969
10,인간실격,JTBC,"'전도연', '류준열', '박병은'",1.035926607142857
11,날씨가좋으면찾아가겠어요,JTBC,"'박민영', '서강준', '문정희'",1.03268
12,우리사랑했을까,JTBC,"'송지효', '손호준', '송종호'",0.9552057589285714
13,사생활,JTBC,"'서현', '고경표', '김효진'",0.9172197321428571
14,너를닮은사람,JTBC,"'고현정', '신현빈', '김재영'",0.9076828571428571
15,구경이,JTBC,"'이영애', '김혜준', '김해숙'",0.8619306043956043
16,이태원클라쓰,JTBC,"'박서준', '김다미', '유재명'",0.6362641964285715
17,언더커버,JTBC,"'지진희', '김현주', '허준호'",0.6193221428571429
18,안녕드라큘라,JTBC,"'서현', '이지현', '이주빈'",0.6112996428571429
19,부부의세계,JTBC,"'김희애', '박해준', '한소희'",0.5749682142857142
20,라이브온,JTBC,"'황민현', '정다빈', '노종현'",0.5666966071428572
21,허쉬,JTBC,"'황정민', '윤아', '손병호'",0.3901907142857142
22,야식남녀,JTBC,"'정일우', '강지영', '이학주'",0.3819519047619047
23,IDOL,JTBC,"'안희연', '곽시양', '김민규'",0.2776619047619047
