,프로그램명,채널명,출연진내용,총시청률
0,99억의여자,KBS2,"'조여정', '김강우', '정웅인'",3.675295044642857
1,경찰수업,KBS2,"'진영', '차태현', '정수정'",3.5047843571428574
2,연모,KBS2,"'박은빈', '로운', '남윤수'",3.4301360357142854
3,달이뜨는강,KBS2,"'김소현', '나인우', '이지훈'",3.400552619047619
4,암행어사조선비밀수사단,KBS2,"'김명수', '권나라', '이이경'",3.3123603273809525
5,꽃피면달생각하고,KBS2,"'유승호', '이혜리', '변우석'",3.0520471428571425
6,대박부동산,KBS2,"'장나라', '정용화', '강말금'",2.6317271428571427
7,오월의청춘,KBS2,"'이도현', '고민시', '이상이'",2.431260873015873
8,안녕나야,KBS2,"'최강희', '김영광', '이레'",2.0080267857142857
9,달리와감자탕,KBS2,"'김민재', '박규영', '권율'",1.9710570588235294
10,좀비탐정,KBS2,"'최진혁', '박주현', '권화운'",1.4864335416666667
11,그놈이그놈이다,KBS2,"'황정음', '윤현민', '서지훈'",1.438875880952381
12,바람피면죽는다,KBS2,"'조여정', '고준', '김영대'",1.4348188392857142
13,도도솔솔라라솔,KBS2,"'고아라', '이재욱', '김주헌'",1.385906198156682
14,출사표,KBS2,"'나나', '박성훈', '유다인'",1.3070940178571429
15,계약우정,KBS2,"'이신영', '신승호', '김소혜'",1.244357232142857
16,본어게인,KBS2,"'장기용', '장기용', '진세연'",1.184120825892857
17,영혼수선공,KBS2,"'신하균', '정소민', '태인호'",1.1729737053571427
18,동백꽃필무렵,KBS2,"'공효진', '강하늘', '김지석'",1.062662261904762
19,멀리서보면푸른봄,KBS2,"'박지훈', '강민아', '배인혁'",0.9082072619047619
20,학교2021,KBS2,"'김요한', '조이현', '추영우'",0.8655323626373626
