,프로그램명,채널명,출연진내용,총시청률
0,펜트하우스2,SBS,"'유진', '김소연', '이지아'",14.39586238095238
1,펜트하우스3,SBS,"'유진', '김소연', '이지아'",10.102990928571428
2,낭만닥터김사부2,SBS,"'한석규', '안효섭', '이성경'",9.248760432900433
3,펜트하우스,SBS,"'이지아', '김소연', '유진'",7.375105766550523
4,모범택시,SBS,"'이제훈', '이솜', '김의성'",7.2974097321428575
5,스토브리그,SBS,"'남궁민', '박은빈', '오정세'",7.027899216589862
6,원더우먼,SBS,"'이하늬', '이하늬', '이상윤'",6.711988616071428
7,굿캐스팅,SBS,"'최강희', '이상엽', '유인영'",4.551869508928571
8,홍천기,SBS,"'안효섭', '김유정', '공명'",4.271302053571429
9,더킹영원의군주,SBS,"'이민호', '김고은', '우도환'",4.159238839285714
10,앨리스,SBS,"'김희선', '주원', '김희선'",3.793675303030303
11,편의점샛별이,SBS,"'지창욱', '김유정', '한선화'",3.496668169642857
12,라켓소년단,SBS,"'김상경', '오나라', '탕준상'",3.2439176785714285
13,지금헤어지는중입니다,SBS,"'송혜교', '장기용', '최희서'",2.9499675824175826
14,날아라개천용,SBS,"'권상우', '정우성', '김주현'",2.7758620089285713
15,날아라개천용,SBS,"'권상우', '배성우', '김주현'",2.3673015476190478
16,브람스를좋아하세요,SBS,"'박은빈', '김민재', '김성철'",2.2468079464285715
17,날아라개천용,SBS,"'권상우', '김주현', '정웅인'",2.240852023809524
18,그해우리는,SBS,"'최우식', '김다미', '김성철'",2.1365946428571427
