방송일자,채널명,프로그램시작시간,프로그램종료시간,프로그램명,방송회차명,프로그램장르소분류명,출연진내용,총시청률
20200101,KBS2,22,222624,99억의여자,17회,미니시리즈,"['조여정', '김강우', '정웅인', '오나라', '이지훈', '김병기']",4.1174414285714285
20200101,KBS2,22,230803,99억의여자,18회,미니시리즈,"['조여정', '김강우', '정웅인', '오나라', '이지훈', '김병기']",5.3128150000000005
20200101,MBC,21,220027,하자있는인간들,22회,미니시리즈,"['오연서', '안재현', '김슬기', '구원', '허정민', '황우슬혜']",1.5051450000000002
20200101,tvN,21,224540,싸이코패스다이어리,13회,미니시리즈,"['윤시윤', '정인선', '박성훈', '이한위', '황효은', '김결']",1.3904828571428571
20200102,KBS2,22,222920,99억의여자,19회,미니시리즈,"['조여정', '김강우', '정웅인', '오나라', '이지훈', '김병기']",3.2864435714285714
20200102,KBS2,22,230409,99억의여자,20회,미니시리즈,"['조여정', '김강우', '정웅인', '오나라', '이지훈', '김병기']",3.729419285714286
20200102,MBC,21,220020,하자있는인간들,24회,미니시리즈,"['오연서', '안재현', '김슬기', '구원', '허정민', '황우슬혜']",1.3692842857142857
20200102,tvN,21,225150,싸이코패스다이어리,14회,미니시리즈,"['윤시윤', '정인선', '박성훈', '이한위', '황효은', '김결']",1.881027142857143
20200102,OCN,22,235816,손THEGUEST,1회,미니시리즈,"['김동욱', '김재욱', '정은채', '안내상', '이원종', '박호산']",0.23304428571428573
20200103,SBS,22,223426,스토브리그,6회,미니시리즈,"['남궁민', '박은빈', '오정세', '조병규', '손종학', '이준혁']",5.189817857142856
20200103,SBS,22,230852,스토브리그,6회,미니시리즈,"['남궁민', '박은빈', '오정세', '조병규', '손종학', '이준혁']",6.896261428571428
20200104,SBS,22,223923,스토브리그,7회,미니시리즈,"['남궁민', '박은빈', '오정세', '조병규', '손종학', '이준혁']",5.916684285714287
20200104,SBS,22,230603,스토브리그,7회,미니시리즈,"['남궁민', '박은빈', '오정세', '조병규', '손종학', '이준혁']",7.1987250000000005
20200106,SBS,21,221518,낭만닥터김사부2,1회,미니시리즈,"['한석규', '안효섭', '이성경', '김주헌', '신동욱', '소주연']",5.576872857142858
20200106,SBS,22,224809,낭만닥터김사부2,1회,미니시리즈,"['한석규', '안효섭', '이성경', '김주헌', '신동욱', '소주연']",7.416949285714287
20200106,JTBC,21,224027,검사내전,5회,미니시리즈,"['이선균', '정려원', '이성재', '김광규', '이상희', '전성우']",1.5615235714285713
