,프로그램명,채널명,출연진내용,총시청률
1,펜트하우스2,SBS,"'유진', '김소연', '이지아'",14.39586238095238
2,펜트하우스3,SBS,"'유진', '김소연', '이지아'",10.102990928571428
3,낭만닥터김사부2,SBS,"'한석규', '안효섭', '이성경'",9.248760432900433
4,사랑의불시착,tvN,"'현빈', '손예진', '서지혜'",8.415945714285714
5,펜트하우스,SBS,"'이지아', '김소연', '유진'",7.375105766550523
6,슬기로운의사생활시즌2,tvN,"'조정석', '유연석', '정경호'",7.298162857142857
7,모범택시,SBS,"'이제훈', '이솜', '김의성'",7.2974097321428575
8,빈센조,tvN,"'송중기', '전여빈', '옥택연'",7.255622946428572
9,스토브리그,SBS,"'남궁민', '박은빈', '오정세'",7.027899216589862
10,원더우먼,SBS,"'이하늬', '이하늬', '이상윤'",6.711988616071428
11,철인왕후,tvN,"'신혜선', '김정현', '배종옥'",6.669997857142857
12,갯마을차차차,tvN,"'신민아', '김선호', '이상이'",5.6135966517857145
13,지리산,tvN,"'전지현', '주지훈', '성동일'",5.199784642857143
14,슬기로운의사생활,tvN,"'조정석', '유연석', '정경호'",4.935116339285715
15,굿캐스팅,SBS,"'최강희', '이상엽', '유인영'",4.551869508928571
16,홍천기,SBS,"'안효섭', '김유정', '공명'",4.271302053571429
17,더킹영원의군주,SBS,"'이민호', '김고은', '우도환'",4.159238839285714
18,하이바이마마,tvN,"'김태희', '이규형', '고보결'",4.0015753125
19,옷소매붉은끝동,MBC,"'이준호', '이세영', '강훈'",3.974026380952381
20,비밀의숲2,tvN,"'조승우', '배두나', '최무성'",3.8512983928571427
21,앨리스,SBS,"'김희선', '주원', '김희선'",3.793675303030303
22,99억의여자,KBS2,"'조여정', '김강우', '정웅인'",3.675295044642857
23,검은태양,MBC,"'남궁민', '박하선', '김지은'",3.640758673469388
24,마우스,tvN,"'이승기', '이희준', '박주현'",3.5298811038961038
25,경찰수업,KBS2,"'진영', '차태현', '정수정'",3.5047843571428574
26,편의점샛별이,SBS,"'지창욱', '김유정', '한선화'",3.496668169642857
27,청춘기록,tvN,"'박보검', '박소담', '변우석'",3.4406122380952384
28,연모,KBS2,"'박은빈', '로운', '남윤수'",3.4301360357142854
29,달이뜨는강,KBS2,"'김소현', '나인우', '이지훈'",3.400552619047619
30,암행어사조선비밀수사단,KBS2,"'김명수', '권나라', '이이경'",3.3123603273809525
31,마인,tvN,"'이보영', '김서형', '이현욱'",3.2835689285714285
32,구미호뎐,tvN,"'이동욱', '조보아', '김범'",3.2558891964285714
33,라켓소년단,SBS,"'김상경', '오나라', '탕준상'",3.2439176785714285
34,여신강림,tvN,"'문가영', '차은우', '황인엽'",3.2091858035714287
35,악마판사,tvN,"'지성', '김민정', '진영'",3.129347723214286
36,경이로운소문,OCN,"'조병규', '유준상', '김세정'",3.1169305677655674
37,꽃피면달생각하고,KBS2,"'유승호', '이혜리', '변우석'",3.0520471428571425
38,불가살,tvN,"'이진욱', '권나라', '이준'",2.9724185714285714
39,꼰대인턴,MBC,"'박해진', '김응수', '한지은'",2.9700598351648355
40,지금헤어지는중입니다,SBS,"'송혜교', '장기용', '최희서'",2.9499675824175826
41,사이코지만괜찮아,tvN,"'김수현', '서예지', '오정세'",2.928249753694581
42,날아라개천용,SBS,"'권상우', '정우성', '김주현'",2.7758620089285713
43,대박부동산,KBS2,"'장나라', '정용화', '강말금'",2.6317271428571427
44,어느날우리집현관으로멸망이들어왔다,tvN,"'박보영', '서인국', '이수혁'",2.539159489795918
45,모범형사,JTBC,"'손현주', '장승조', '이엘리야'",2.503925892857143
46,스타트업,tvN,"'배수지', '남주혁', '김선호'",2.499774330357143
47,오월의청춘,KBS2,"'이도현', '고민시', '이상이'",2.431260873015873
48,365운명을거스르는1년,MBC,"'이준혁', '남지현', '김지수'",2.424068869047619
49,날아라개천용,SBS,"'권상우', '배성우', '김주현'",2.3673015476190478
50,시지프스,JTBC,"'조승우', '박신혜', '김병철'",2.333670238095238
51,산후조리원,tvN,"'엄지원', '박하선', '장혜진'",2.307565204081633
52,브람스를좋아하세요,SBS,"'박은빈', '김민재', '김성철'",2.2468079464285715
53,낮과밤,tvN,"'남궁민', '김설현', '이청아'",2.2454064285714286
54,날아라개천용,SBS,"'권상우', '김주현', '정웅인'",2.240852023809524
55,로스쿨,JTBC,"'김명민', '김범', '류혜영'",2.2290312637362635
56,해피니스,tvN,"'한효주', '박형식', '조우진'",2.2123063392857145
57,간떨어지는동거,tvN,"'장기용', '혜리', '강한나'",2.1903647142857143
58,그해우리는,SBS,"'최우식', '김다미', '김성철'",2.1365946428571427
59,보이스시즌4,tvN,"'송승헌', '이하나', '이규형'",2.0953475714285714
60,방법,tvN,"'엄지원', '정지소', '성동일'",2.0348107653061223
61,악의꽃,tvN,"'이준기', '문채원', '장희진'",2.0244539682539684
62,안녕나야,KBS2,"'최강희', '김영광', '이레'",2.0080267857142857
63,더게임0시를향하여,MBC,"'옥택연', '이연희', '임주환'",1.9752768303571429
64,달리와감자탕,KBS2,"'김민재', '박규영', '권율'",1.9710570588235294
65,저녁같이드실래요,MBC,"'송승헌', '서지혜', '이지훈'",1.9462698437500001
66,화양연화삶이꽃이되는순간,tvN,"'유지태', '이보영', '진영'",1.9059800892857144
67,그남자의기억법,MBC,"'김동욱', '문가영', '윤종훈'",1.8946266517857144
68,블랙독,tvN,"'서현진', '라미란', '하준'",1.8721575000000001
69,18어게인,JTBC,"'김하늘', '윤상현', '이도현'",1.8110050446428572
70,하이클래스,tvN,"'조여정', '김지수', '하준'",1.7892929464285714
71,배드앤크레이지,tvN,"'이동욱', '위하준', '한지은'",1.7073060000000002
72,뫼비우스:검은태양,MBC,"'박하선', '정문성', '장영남'",1.6825610714285713
73,싸이코패스다이어리,tvN,"'윤시윤', '정인선', '박성훈'",1.6515901785714286
74,메모리스트,tvN,"'유승호', '이세영', '조성하'",1.6409689285714286
75,미쓰리는알고있다,MBC,"'강성연', '조한선', '박신아'",1.5909323214285713
76,아는건별로없지만가족입니다,tvN,"'한예리', '김지석', '추자현'",1.5817991666666666
77,미치지않고서야,MBC,"'정재영', '문소리', '이상엽'",1.5780578571428567
78,쌍갑포차,JTBC,"'황정음', '육성재', '최원영'",1.5320279120879121
79,검사내전,JTBC,"'이선균', '정려원', '이성재'",1.5268005357142858
