프로그램명,채널명,월간,게시글,댓글,동영상조회(K),뉴스,동영상,총합
18 어게인,JTBC,808038.0,18.624,142140.0,13885928.0,7557.0,691.0,158.01421679999996
365 : 운명을 거스르는 1년,MBC,606012.0,10.234,44871.0,2272619.0,5623.0,718.0,57.9114959
99억의 여자,KBS2,202001.0,1.567,7483.0,1118175.0,3527.0,203.0,13.1533845
IDOL (아이돌 : The Coup),JTBC,606333.0,1.002,6936.0,927954.0,2588.0,517.0,14.7877974
KBS 드라마 스페셜 2020,KBS2,606033.0,1.111,2686.0,267019.0,4131.0,248.0,9.3248129
간 떨어지는 동거,tvN,606318.0,7.702,60472.0,34994343.0,6681.0,980.0,80.4601363
간택 - 여인들의 전쟁,TV CHOSUN,404003.0,4.685,15265.0,4142057.0,2536.0,241.0,20.6298907
갯마을 차차차,tvN,606327.0,34.459,240504.0,39924056.0,7189.0,1042.0,262.1398646
검사내전,JTBC,404003.0,4.194,13614.0,2487131.0,3175.0,448.0,21.5219071
결혼작사 이혼작곡,TV CHOSUN,808407.0,5.375,33534.0,8596729.0,10302.0,418.0,48.8810479
결혼작사 이혼작곡 시즌2,TV CHOSUN,808426.0,8.28,30742.0,9468863.0,8064.0,375.0,43.5111663
경로를 이탈하였습니다,JTBC,404205.0,0.233,1309.0,170789.0,789.0,70.0,2.8153119
경이로운 소문,OCN,808225.0,69.316,347459.0,44052840.0,15145.0,1593.0,383.0086
경찰수업,KBS2,808434.0,5.548,20542.0,3451047.0,7760.0,504.0,33.692652700000004
계약우정,KBS2,404007.0,1.586,4520.0,228543.0,2445.0,128.0,8.269440299999998
고스트 닥터,tvN,202112.0,0.284,1271.0,249038.0,908.0,33.0,2.5341877999999998
공작도시,JTBC,404223.0,2.203,5791.0,4612280.0,2877.0,280.0,11.931431
구경이,JTBC,606333.0,3.569,12740.0,884028.0,5507.0,361.0,21.948971800000002
구미호뎐,tvN,808042.0,30.761,212522.0,49918280.0,9586.0,1128.0,238.41058900000002
굿캐스팅,SBS,606015.0,4.586,19238.0,5849145.0,8707.0,581.0,34.3445005
그 남자의 기억법,MBC,808014.0,25.416,168670.0,10495462.0,8545.0,1088.0,189.1699622
그 해 우리는,SBS,404223.0,8.578,51709.0,13217877.0,4409.0,288.0,60.328365700000006
그놈이 그놈이다,KBS2,808030.0,3.986,17177.0,2756741.0,7165.0,497.0,29.5916601
꼰대인턴,MBC,606018.0,9.432,97145.0,3793905.0,14780.0,483.0,117.1438225
꽃 피면 달 생각하고,KBS2,404223.0,1.884,6657.0,842241.0,2956.0,152.0,11.2191081
나를 사랑한 스파이,MBC,808042.0,3.088,6802.0,1260028.0,5451.0,597.0,18.3520908
나빌레라,tvN,606312.0,6.912,36493.0,5443265.0,6325.0,708.0,50.4492385
나의 너에게,KBS1,202104.0,0.026,68.0,3108.0,117.0,0.0,0.18533680000000002
나의 위험한 아내,MBN,606030.0,1.179,2845.0,685247.0,4127.0,590.0,12.941703700000001
날씨가 좋으면 찾아가겠어요,JTBC,606009.0,11.191,82994.0,11078417.0,5636.0,644.0,96.18903269999998
낭만닥터 김사부 2,SBS,606006.0,37.986,206342.0,33714712.0,13180.0,644.0,229.3714572
낮과 밤,tvN,808225.0,5.026,20656.0,9892271.0,10181.0,1064.0,42.4712531
내가 가장 예뻤을 때,MBC,808034.0,6.306,29458.0,7598052.0,4522.0,661.0,41.356111199999994
너는 나의 봄,tvN,606321.0,8.556,35264.0,7397122.0,7811.0,773.0,51.553268200000005
너를 닮은 사람,JTBC,808442.0,6.22,21824.0,11937404.0,6102.0,587.0,34.9959604
너의 밤이 되어줄게,SBS,606333.0,2.827,13904.0,494402.0,3102.0,164.0,18.6982672
달리와 감자탕,KBS2,808438.0,3.283,16457.0,4831768.0,5200.0,457.0,26.7134598
달이 뜨는 강,KBS2,1010511.0,8.748,111775.0,7176864.0,13101.0,596.0,131.5624344
대박부동산,KBS2,808418.0,4.832,17841.0,3925219.0,6314.0,474.0,29.292353900000002
더 게임:0시를 향하여,MBC,606006.0,2.54,10139.0,1154150.0,6683.0,1014.0,27.079954999999998
더 로드 : 1의 비극,tvN,606324.0,1.663,3056.0,1505528.0,4606.0,566.0,13.4742158
도도솔솔라라솔,KBS2,808038.0,14.118,77343.0,4046768.0,6010.0,556.0,89.33179480000001
두 번은 없다,MBC,606006.0,1.003,4728.0,1042176.0,1281.0,480.0,10.9142206
드라마 스테이지 2020,tvN,404003.0,0.223,396.0,104188.0,383.0,190.0,2.6896418
