,프로그램명,채널명,출연진내용,총시청률
0,사랑의불시착,tvN,"['현빈', '손예진', '서지혜', '김정현']",8.415945714285714
1,슬기로운의사생활시즌2,tvN,"['조정석', '유연석', '정경호', '김대명']",7.298162857142857
2,빈센조,tvN,"['송중기', '전여빈', '옥택연', '유재명']",7.255622946428572
3,철인왕후,tvN,"['신혜선', '김정현', '배종옥', '김태우']",6.669997857142857
4,갯마을차차차,tvN,"['신민아', '김선호', '이상이', '김영옥']",5.6135966517857145
5,지리산,tvN,"['전지현', '주지훈', '성동일', '오정세']",5.199784642857143
6,슬기로운의사생활,tvN,"['조정석', '유연석', '정경호', '김대명']",4.935116339285715
7,하이바이마마,tvN,"['김태희', '이규형', '고보결', '서우진']",4.0015753125
8,비밀의숲2,tvN,"['조승우', '배두나', '최무성', '김영재']",3.8512983928571427
9,마우스,tvN,"['이승기', '이희준', '박주현', '경수진']",3.5298811038961038
10,청춘기록,tvN,"['박보검', '박소담', '변우석', '하희라']",3.4406122380952384
11,마인,tvN,"['이보영', '김서형', '이현욱', '옥자연']",3.2835689285714285
12,구미호뎐,tvN,"['이동욱', '조보아', '김범', '김정난']",3.2558891964285714
13,여신강림,tvN,"['문가영', '차은우', '황인엽', '박유나']",3.2091858035714287
14,악마판사,tvN,"['지성', '김민정', '진영', '박규영']",3.129347723214286
15,불가살,tvN,"['이진욱', '권나라', '이준', '공승연']",2.9724185714285714
16,사이코지만괜찮아,tvN,"['김수현', '서예지', '오정세', '박규영']",2.928249753694581
17,어느날우리집현관으로멸망이들어왔다,tvN,"['박보영', '서인국', '이수혁', '강태오']",2.539159489795918
18,스타트업,tvN,"['배수지', '남주혁', '김선호', '강한나']",2.499774330357143
19,산후조리원,tvN,"['엄지원', '박하선', '장혜진', '윤박']",2.307565204081633
20,낮과밤,tvN,"['남궁민', '김설현', '이청아', '윤선우']",2.2454064285714286
21,해피니스,tvN,"['한효주', '박형식', '조우진', '이준혁']",2.2123063392857145
22,간떨어지는동거,tvN,"['장기용', '혜리', '강한나', '김도완']",2.1903647142857143
23,보이스시즌4,tvN,"['송승헌', '이하나', '이규형', '손은서']",2.0953475714285714
24,방법,tvN,"['엄지원', '정지소', '성동일', '조민수']",2.0348107653061223
25,악의꽃,tvN,"['이준기', '문채원', '장희진', '서현우']",2.0244539682539684
26,화양연화삶이꽃이되는순간,tvN,"['유지태', '이보영', '진영', '전소니']",1.9059800892857144
27,블랙독,tvN,"['서현진', '라미란', '하준', '이창훈']",1.8721575000000001
28,하이클래스,tvN,"['조여정', '김지수', '하준', '박세진']",1.7892929464285714
29,배드앤크레이지,tvN,"['이동욱', '위하준', '한지은', '차학연']",1.7073060000000002
30,싸이코패스다이어리,tvN,"['윤시윤', '정인선', '박성훈', '이한위']",1.6515901785714286
31,메모리스트,tvN,"['유승호', '이세영', '조성하', '고창석']",1.6409689285714286
32,아는건별로없지만가족입니다,tvN,"['한예리', '김지석', '추자현', '정진영']",1.5817991666666666
33,어사와조이,tvN,"['옥택연', '김혜윤', '양희경', '채원빈']",1.512751517857143
34,나빌레라,tvN,"['박인환', '송강', '나문희', '홍승희']",1.508946875
35,홈타운,tvN,"['유재명', '한예리', '엄태구', '김새벽']",1.4234666071428572
36,너는나의봄,tvN,"['서현진', '김동욱', '윤박', '남규리']",1.2143493303571429
37,멜랑꼴리아,tvN,"['임수정', '이도현', '진경', '최대훈']",1.0751456696428572
38,더로드1의비극,tvN,"['지진희', '윤세아', '김혜은', '천호진']",1.044053642857143
39,번외수사,tvN,"['차태현', '이선빈', '정상훈', '윤경호']",0.9724152380952381
40,반의반,tvN,"['정해인', '채수빈', '이하나', '김성규']",0.9483393571428571
41,오마이베이비,tvN,"['장나라', '고준', '박병은', '정건주']",0.9083465238095237
42,다크홀,tvN,"['김옥빈', '이준혁', '임원희', '조지안']",0.624777987012987
43,경이로운소문,tvN,"['조병규', '유준상', '김세정', '염혜란']",0.538100119047619
